"boat";"sail";"model";"maxSequence";"country"
"2.4mR";"2.4mR - Foque";"JDF1-05";NULL;"ARG"
"2.4mR";"2.4mR - Mayor";"MF15";NULL;"ARG"
"29ER";"29ER - HK 8477 - Funda Cubierta";"HK8477-FCUB-01";"01";"ARG"
"420";"*420 - Foque J12";"J12-61";"63";"ARG"
"420";"*420 - Foque J13";"J13-08";"10";"ARG"
"420";"*420 - Mayor M11";"M11-07";"07";"ARG"
"420";"*420 - Mayor M7";"M7-06";"08";"ARG"
"420";"*420 - Mayor M9";"M9-50";"50";"ARG"
"420";"*420 - Spi S1";NULL;NULL;"ARG"
"420";"*420 - Spi S5";"S05-CEL/R:018960";NULL;"ARG"
"420";"420 - HK 8041 - Funda Cubierta S";NULL;NULL;"ARG"
"420";"420 - HK 8043 - Funda Timon";"HK8043-FTIM-01";"01";"ARG"
"470";"JIB S5 B4";"JIB S5 B4";NULL;"BRA"
"BOLSAS";"CAJON #4 (LOTE 2 UN.)";"ZSSL #4 x2";NULL;"ARG"
"BOLSAS";"CAJON #5 (LOTE 2 UN.)";"ZSML-5 x 6 UNIDADES";NULL;"ARG"
"BOLSAS";"CAJON #6 (LOTE 2 UN.)";"ZSML #5 X2";NULL;"ARG"
"BOLSAS";"CAJON #7 (LOTE 2 UN.)";"ZSXLL #7 x2";NULL;"ARG"
"BOLSAS";"TORTUGA #10 (LOTE 6 UN.)";"ZZJ10L x 6 UNIDADES";NULL;"ARG"
"BOLSAS";"TORTUGA #12 (LOTE 6 UN.)";"ZZJ12L X 12";NULL;"ARG"
"BOLSAS";"TORTUGA #14 (LOTE 6 UN.)";"ZZJ14L X 6";NULL;"ARG"
"CADET";"*CADET - Foque J1-S";"J1S-37";"37";"ARG"
"CADET";"*CADET - Mayor I-3";"MI3-21";"21";"ARG"
"CADET";"*CADET - Spi CS-3";"CS3-29";"29";"ARG"
"CADET";"CADET - Foque J1-V3";NULL;NULL;"ARG"
"CADET";"CADET - Foque J1-V3 Plus";"-27 J CADET DISC.";NULL;"ARG"
"CADET";"CADET - Mayor M-1";"MIV5-37";"37";"ARG"
"CORUM 27";"CORUM 27 - Asy A2 clase 2014 V1";"ASY A2.V1-12";NULL;"ARG"
"CORUM 27";"CORUM 27 - Asy A2 Runner";NULL;NULL;"ARG"
"CORUM 27";"CORUM 27 - Genoa G-12";"G12-05";"05";"ARG"
"CORUM 27";"CORUM 27 - My M12";NULL;NULL;"ARG"
"CORUM 27";"CORUM 27 - SPI S2";NULL;NULL;"ARG"
"CORUM 27";"CORUM 27 -Foque J1";NULL;NULL;"ARG"
"DINGUE";"M1";NULL;NULL;"BRA"
"F-18";"F-18 - Asy AV2";"NS SL";NULL;"ARG"
